trial	sample	cell_type	qc_overall	highest_tier_reported	highest_tier_name	stopped_at_tier	stopped_at_name	stop_status	stop_reason	tier0_status	tier1_status	tier2_status	tier3_status	tier4_status
trial1	pool100cells_S8	target	UNUSABLE	-1	none	0	tissue_identity	FAIL	stopped at tier 0 (tissue_identity) [FAIL]: tissue_verdict=MOE -- the main-olfactory marker panel is above the tissue floor while the VNO-specific panel (Trpc2, Vmn1r*, Vmn2r*) is not. This is the WRONG TISSUE, not a failed VNO sort; Trpc2=0 is the expected value for main olfactory epithelium. No VR biology is reportable and the remedy is wet-lab (dissection / sort gate), not re-quantification.	FAIL	SUPPRESSED	SUPPRESSED	SUPPRESSED	SUPPRESSED
trial1	pool2cellsRep1_S5	target	UNUSABLE	-1	none	0	tissue_identity	FAIL	stopped at tier 0 (tissue_identity) [FAIL]: tissue_verdict=no_tissue_signal -- both marker panels sit below the absolute CPM floor, so this target library carries no tissue information either way. VNO identity is UNCONFIRMED (this is not positive evidence of the wrong tissue), and an unconfirmed tissue cannot support a receptor call.	FAIL	SUPPRESSED	SUPPRESSED	SUPPRESSED	SUPPRESSED
trial1	pool2cellsRep2_S6	target	UNUSABLE	-1	none	0	tissue_identity	FAIL	stopped at tier 0 (tissue_identity) [FAIL]: tissue_verdict=MOE -- the main-olfactory marker panel is above the tissue floor while the VNO-specific panel (Trpc2, Vmn1r*, Vmn2r*) is not. This is the WRONG TISSUE, not a failed VNO sort; Trpc2=0 is the expected value for main olfactory epithelium. No VR biology is reportable and the remedy is wet-lab (dissection / sort gate), not re-quantification.	FAIL	SUPPRESSED	SUPPRESSED	SUPPRESSED	SUPPRESSED
trial1	pool2cellsRep3_S7	target	UNUSABLE	-1	none	0	tissue_identity	FAIL	stopped at tier 0 (tissue_identity) [FAIL]: tissue_verdict=MOE -- the main-olfactory marker panel is above the tissue floor while the VNO-specific panel (Trpc2, Vmn1r*, Vmn2r*) is not. This is the WRONG TISSUE, not a failed VNO sort; Trpc2=0 is the expected value for main olfactory epithelium. No VR biology is reportable and the remedy is wet-lab (dissection / sort gate), not re-quantification.	FAIL	SUPPRESSED	SUPPRESSED	SUPPRESSED	SUPPRESSED
trial2	nontarget100cells_S8	nontarget	USABLE	3	cluster_vr	4	individual_vr	NO_DATA	stopped at tier 4 (individual_vr) [NO_DATA]: the quantification track nominated no candidate for nontarget100cells_S8 (evidence_type = no_cluster_above_signal_threshold). No individual receptor is named; the cluster-level result is the statement that stands.	PASS_WITH_CAVEAT	PASS	PASS_WITH_CAVEAT	PASS	NO_DATA
trial2	target100cellsRep1_S6	target	USABLE	4	individual_vr				all tiers reported	PASS_WITH_CAVEAT	PASS	PASS_WITH_CAVEAT	PASS	PASS_WITH_CAVEAT
trial2	target100cellsRep2_S7	target	USABLE	4	individual_vr				all tiers reported	PASS_WITH_CAVEAT	PASS	PASS	PASS	PASS_WITH_CAVEAT
trial2	target2cellsRep1_S3	target	USABLE	4	individual_vr				all tiers reported	PASS	PASS	PASS_WITH_CAVEAT	PASS	PASS_WITH_CAVEAT
trial2	target2cellsRep2_S4	target	UNUSABLE	0	tissue_identity	1	sort_validation	FAIL	stopped at tier 1 (sort_validation) [FAIL]: library_status=FAILED -- target sample with actin sum 0.9 CPM < 100 AND Trpc2 0.16 CPM < 10: empty/failed library, no biology may be reported Every CPM in this sample is a ratio taken against a near-empty or failed library, so no downstream number is interpretable however large it looks.	PASS	FAIL	SUPPRESSED	SUPPRESSED	SUPPRESSED
trial2	target2cellsRep3_S5	target	UNUSABLE	-1	none	0	tissue_identity	FAIL	stopped at tier 0 (tissue_identity) [FAIL]: tissue_verdict=no_tissue_signal -- both marker panels sit below the absolute CPM floor, so this target library carries no tissue information either way. VNO identity is UNCONFIRMED (this is not positive evidence of the wrong tissue), and an unconfirmed tissue cannot support a receptor call.	FAIL	SUPPRESSED	SUPPRESSED	SUPPRESSED	SUPPRESSED
