trial	sample	tier	tier_name	status	blocked_by_tier	blocked_by_name	reason
trial1	pool100cells_S8	0	tissue_identity	FAIL			tissue_verdict=MOE -- the main-olfactory marker panel is above the tissue floor while the VNO-specific panel (Trpc2, Vmn1r*, Vmn2r*) is not. This is the WRONG TISSUE, not a failed VNO sort; Trpc2=0 is the expected value for main olfactory epithelium. No VR biology is reportable and the remedy is wet-lab (dissection / sort gate), not re-quantification.
trial1	pool100cells_S8	1	sort_validation	SUPPRESSED	0	tissue_identity	not evaluated -- tier 0 (tissue_identity) FAIL: tissue_verdict=MOE -- the main-olfactory marker panel is above the tissue floor while the VNO-specific panel (Trpc2, Vmn1r*, Vmn2r*) is not. This is the WRONG TISSUE, not a failed VNO sort; Trpc2=0 is the expected value for main olfactory epithelium. No VR biology is reportable and the remedy is wet-lab (dissection / sort gate), not re-quantification.
trial1	pool100cells_S8	2	population_id	SUPPRESSED	0	tissue_identity	not evaluated -- tier 0 (tissue_identity) FAIL: tissue_verdict=MOE -- the main-olfactory marker panel is above the tissue floor while the VNO-specific panel (Trpc2, Vmn1r*, Vmn2r*) is not. This is the WRONG TISSUE, not a failed VNO sort; Trpc2=0 is the expected value for main olfactory epithelium. No VR biology is reportable and the remedy is wet-lab (dissection / sort gate), not re-quantification.
trial1	pool100cells_S8	3	cluster_vr	SUPPRESSED	0	tissue_identity	suppressed by tier 0 (tissue_identity) FAIL: tissue_verdict=MOE -- the main-olfactory marker panel is above the tissue floor while the VNO-specific panel (Trpc2, Vmn1r*, Vmn2r*) is not. This is the WRONG TISSUE, not a failed VNO sort; Trpc2=0 is the expected value for main olfactory epithelium. No VR biology is reportable and the remedy is wet-lab (dissection / sort gate), not re-quantification.
trial1	pool100cells_S8	4	individual_vr	SUPPRESSED	0	tissue_identity	suppressed by tier 0 (tissue_identity) FAIL: tissue_verdict=MOE -- the main-olfactory marker panel is above the tissue floor while the VNO-specific panel (Trpc2, Vmn1r*, Vmn2r*) is not. This is the WRONG TISSUE, not a failed VNO sort; Trpc2=0 is the expected value for main olfactory epithelium. No VR biology is reportable and the remedy is wet-lab (dissection / sort gate), not re-quantification.
trial1	pool2cellsRep1_S5	0	tissue_identity	FAIL			tissue_verdict=no_tissue_signal -- both marker panels sit below the absolute CPM floor, so this target library carries no tissue information either way. VNO identity is UNCONFIRMED (this is not positive evidence of the wrong tissue), and an unconfirmed tissue cannot support a receptor call.
trial1	pool2cellsRep1_S5	1	sort_validation	SUPPRESSED	0	tissue_identity	not evaluated -- tier 0 (tissue_identity) FAIL: tissue_verdict=no_tissue_signal -- both marker panels sit below the absolute CPM floor, so this target library carries no tissue information either way. VNO identity is UNCONFIRMED (this is not positive evidence of the wrong tissue), and an unconfirmed tissue cannot support a receptor call.
trial1	pool2cellsRep1_S5	2	population_id	SUPPRESSED	0	tissue_identity	not evaluated -- tier 0 (tissue_identity) FAIL: tissue_verdict=no_tissue_signal -- both marker panels sit below the absolute CPM floor, so this target library carries no tissue information either way. VNO identity is UNCONFIRMED (this is not positive evidence of the wrong tissue), and an unconfirmed tissue cannot support a receptor call.
trial1	pool2cellsRep1_S5	3	cluster_vr	SUPPRESSED	0	tissue_identity	suppressed by tier 0 (tissue_identity) FAIL: tissue_verdict=no_tissue_signal -- both marker panels sit below the absolute CPM floor, so this target library carries no tissue information either way. VNO identity is UNCONFIRMED (this is not positive evidence of the wrong tissue), and an unconfirmed tissue cannot support a receptor call.
trial1	pool2cellsRep1_S5	4	individual_vr	SUPPRESSED	0	tissue_identity	suppressed by tier 0 (tissue_identity) FAIL: tissue_verdict=no_tissue_signal -- both marker panels sit below the absolute CPM floor, so this target library carries no tissue information either way. VNO identity is UNCONFIRMED (this is not positive evidence of the wrong tissue), and an unconfirmed tissue cannot support a receptor call.
